".variable","assay","parName","paramMean","paramMedian","paramSD","paramL","paramQuartileL","paramQuartileH","paramH"
"assayIntercept","Abbott Alinity i SARS-CoV-2 IgG nucleocapsid",NA,1.76784337718231,1.78826315769369,0.527597675120591,0.696490563719724,1.42172744502376,2.12153588844543,2.75969228302736
"assayIntercept","Abbott Alinity SARS-CoV-2 IgG II Quant",NA,2.41168408390248,2.36534986069009,0.697656302531371,1.09942437661626,1.95565988334481,2.84620883518753,3.8944455964186
"assayIntercept","Abbott Architect IgG",NA,2.25836055050638,2.25687229506565,0.191830679773828,1.88915719935584,2.12903256740244,2.38592042704702,2.64089356190776
"assayIntercept","Abingdon AbC-19 IgG anti-spike",NA,1.99303646591322,2.00174584198394,0.527905867809472,0.92050068040882,1.65475403339534,2.341454424111,3.01620940644267
"assayIntercept","AMP Rapid Test SARS-CoV-2 IgG/IgM",NA,2.02331907328005,2.03410397978865,0.610474645747529,0.779503817720495,1.63888569369307,2.41654337396524,3.22161762842463
"assayIntercept","Beckman ACCESS SARS-CoV-2 anti-RBD",NA,1.90537865710406,1.92057589785219,0.572778277881427,0.726514263647179,1.54063510964391,2.27723385540298,3.00270987981266
"assayIntercept","Biomerica anti-nucleocapsid IgG IgM rapid test",NA,2.59744340405449,2.56809985658212,0.584210996125092,1.52435350123442,2.19859558361622,2.97204517017272,3.82268354981619
"assayIntercept","BioRad Platelia Total Antibody nucleocapsid",NA,1.43853976536398,1.48028216495118,0.644114378514619,0.0864911242233021,1.02353400476455,1.89306891135892,2.59667643296806
"assayIntercept","Biozek COVID-19 IgG/IgM rapid test",NA,2.67951211482405,2.63821615909408,0.612423384058808,1.57350484599352,2.25213833132512,3.06987748608194,3.98762296696543
"assayIntercept","CCAHS ELISA anti-spike anti-RBD anti-nucleocapsid (positive on at least 2 out of 3)",NA,1.94575929364978,1.95184388644563,0.549710441762617,0.839125798368421,1.59163961565292,2.30975902183718,3.02046499729925
"assayIntercept","COVIDAR anti-spike anti-RBD",NA,1.5253218173279,1.53732311062179,0.441456663933563,0.651461099678025,1.22786632512436,1.83002487062049,2.35349575871893
"assayIntercept","Diasorin Liaison S1/S2 spike IgG",NA,2.00466200457718,2.0086222600252,0.286894364137947,1.44429039520326,1.81272393539169,2.19758596594916,2.5556087322282
"assayIntercept","EDI Novel coronavirus COVID19 IgG anti-nucleocapsid",NA,1.80293469456389,1.84211589856274,0.678395523954491,0.37883638169758,1.38767995073869,2.24376774667902,3.08169215045774
"assayIntercept","Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM",NA,2.43719165541663,2.43266797334077,0.238682647638868,1.97292180701054,2.27640187237719,2.59535071233474,2.91961627373452
"assayIntercept","Elecsys Anti-SARS-CoV-2 Roche spike",NA,2.54143264264713,2.50914923332058,0.591352285050908,1.44819468304645,2.14512730829461,2.91644987482132,3.76527175223551
"assayIntercept","ERBALISA COVID-19 IgG",NA,1.24056595205137,1.25838494565169,0.574671198790392,0.06117723840954,0.864055488582508,1.64700342726298,2.28425154594771
"assayIntercept","Euroimmun anti-nucleocapsid IgG IgM",NA,2.5356250909947,2.51836540672507,0.464711451470584,1.66452458843721,2.21921228925043,2.8429559923982,3.47404327137437
"assayIntercept","Euroimmun anti-spike",NA,1.93948900246262,1.93974111192612,0.193774042345612,1.56286809448304,1.80650324102083,2.07018132642034,2.32864328255289
"assayIntercept","Fortress Diagnostics LFIA COVID-19 total, Northern Ireland (recognizes spike)",NA,2.06664030147412,2.07114222202011,0.41912511393438,1.23953473799302,1.78695193320718,2.34438635942678,2.89020393804297
"assayIntercept","GenScript cPass neutralization kit",NA,2.70331528660817,2.68386894196098,0.463059197383452,1.85423214565537,2.38012182371324,3.01530589644142,3.64623801182918
"assayIntercept","Hangzhou Clongene IgM/IgG rapid test",NA,2.00367371639784,2.00982177998371,0.661575870342761,0.648185581494668,1.59713689365598,2.41544436351604,3.32735553418238
"assayIntercept","IDK (Immundiagnostik) anti-spike IgG",NA,2.26431601014975,2.25210317283025,0.618019662638544,1.06792521954128,1.86466930459932,2.6556878230596,3.50641040789521
"assayIntercept","in-house RBD ELISA (Mehdi et al.)",NA,2.06012983560852,2.06536715577701,0.549596869081819,0.960774030517775,1.70559249426161,2.4135251616437,3.1518264843694
"assayIntercept","in-house THL Finland FMIA anti-spike assay",NA,2.74977345980664,2.69595417341438,0.662571787073922,1.57973026177841,2.28263386142566,3.17131848010361,4.1709794176034
