"intercept","slope","interceptSD","slopeSD","testName"
1.8237048365809,-1.13289472403753,0.618193079650736,0.693427470908267,"Abbott Alinity i SARS-CoV-2 IgG nucleocapsid"
2.49506199048291,0.356156960004928,0.886556195510686,0.553344332652095,"Abbott Alinity SARS-CoV-2 IgG II Quant"
2.28959350177074,-1.58503675115454,0.192658076367734,0.0824980220378855,"Abbott Architect IgG"
1.99534524376341,-0.630042608552482,0.616670255011913,0.311131989763866,"Abingdon AbC-19 IgG anti-spike"
2.74573678025573,-1.89859016364216,0.63418905839937,0.294499722628666,"Biomerica anti-nucleocapsid IgG IgM rapid test"
2.71160756694393,-0.26910352900884,0.688887810749513,0.989028393798215,"Biozek COVID-19 IgG/IgM rapid test"
1.39396982461334,0.432879433065628,0.468146587203716,0.391728942913216,"COVIDAR anti-spike anti-RBD"
2.0026628033118,-0.205293850512181,0.295076709305909,0.0878830748036547,"Diasorin Liaison S1/S2 spike IgG"
1.92820316459279,-1.356508217834,0.865142601081379,0.559338510377379,"EDI Novel coronavirus COVID19 IgG anti-nucleocapsid"
2.49509680640304,0.0795692653908462,0.236564838316934,0.126173820953573,"Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM"
2.7779115546845,1.35255169997747,0.69014410208643,0.544740217268632,"Elecsys Anti-SARS-CoV-2 Roche spike"
1.18985152137696,-1.3535467584425,0.647986594246842,1.00603201306834,"ERBALISA COVID-19 IgG"
2.65364916999046,-1.33160095083719,0.507335451487985,0.0959835823806519,"Euroimmun anti-nucleocapsid IgG IgM"
1.92343174330906,-0.428872446883633,0.197972584322522,0.0747333049748855,"Euroimmun anti-spike"
2.82783151295872,0.0521813160449891,0.50441896821479,0.134223193003132,"GenScript cPass neutralization kit"
2.35593858275885,-0.32022677088786,0.77943548251935,0.722116311266552,"IDK (Immundiagnostik) anti-spike IgG"
2.11397317553721,-0.64645891790903,0.661155648214035,1.00190342470962,"in-house RBD ELISA (Mehdi et al.)"
3.01599199614727,-0.0260243543311072,0.779437450397491,0.291485965262094,"in-house THL Finland FMIA anti-spike assay"
